"@timestamp",message,"kubernetes.pod.name"
"Apr 12, 2024 @ 14:34:35.959","[INFO] 10.244.0.13:59913 - 26027 ""A IN my-cluster-kafka-0.my-cluster-kafka-brokers.default.svc.default.svc.cluster.local. udp 110 false 1232"" NXDOMAIN qr,aa,rd 192 0.000137424s","coredns-5dd5756b68-gwjrn"
"Apr 12, 2024 @ 14:34:35.938","[INFO] 10.244.0.13:39088 - 49597 ""A IN my-cluster-kafka-1.my-cluster-kafka-brokers.default.svc.cluster.local. udp 98 false 1232"" NOERROR qr,aa,rd 172 0.000065961s","coredns-5dd5756b68-gwjrn"
"Apr 12, 2024 @ 14:34:35.938","[INFO] 10.244.0.13:59588 - 30260 ""AAAA IN my-cluster-kafka-1.my-cluster-kafka-brokers.default.svc.cluster.local. udp 98 false 1232"" NOERROR qr,aa,rd 180 0.000109976s","coredns-5dd5756b68-gwjrn"
"Apr 12, 2024 @ 14:34:35.937","[INFO] 10.244.0.13:37898 - 9695 ""A IN my-cluster-kafka-1.my-cluster-kafka-brokers.default.svc.default.svc.cluster.local. udp 110 false 1232"" NXDOMAIN qr,aa,rd 192 0.000150067s","coredns-5dd5756b68-gwjrn"
"Apr 12, 2024 @ 14:34:35.937","[INFO] 10.244.0.13:39945 - 13452 ""AAAA IN my-cluster-kafka-1.my-cluster-kafka-brokers.default.svc.default.svc.cluster.local. udp 110 false 1232"" NXDOMAIN qr,aa,rd 192 0.000235389s","coredns-5dd5756b68-gwjrn"
"Apr 12, 2024 @ 14:34:35.937","[INFO] 10.244.0.13:45198 - 48381 ""AAAA IN my-cluster-kafka-1.my-cluster-kafka-brokers.default.svc.svc.cluster.local. udp 102 false 1232"" NXDOMAIN qr,aa,rd 184 0.000089523s","coredns-5dd5756b68-gwjrn"
"Apr 12, 2024 @ 14:34:35.937","[INFO] 10.244.0.13:38083 - 27259 ""A IN my-cluster-kafka-1.my-cluster-kafka-brokers.default.svc.svc.cluster.local. udp 102 false 1232"" NXDOMAIN qr,aa,rd 184 0.000064937s","coredns-5dd5756b68-gwjrn"
"Apr 12, 2024 @ 14:34:34.970","[INFO] 10.244.0.13:46692 - 45791 ""AAAA IN my-cluster-kafka-2.my-cluster-kafka-brokers.default.svc.cluster.local. udp 98 false 1232"" NOERROR qr,aa,rd 180 0.000096201s","coredns-5dd5756b68-gwjrn"
"Apr 12, 2024 @ 14:34:34.970","[INFO] 10.244.0.13:51248 - 19824 ""A IN my-cluster-kafka-2.my-cluster-kafka-brokers.default.svc.cluster.local. udp 98 false 1232"" NOERROR qr,aa,rd 172 0.000128017s","coredns-5dd5756b68-gwjrn"
"Apr 12, 2024 @ 14:34:34.969","[INFO] 10.244.0.13:57832 - 10070 ""AAAA IN my-cluster-kafka-2.my-cluster-kafka-brokers.default.svc.default.svc.cluster.local. udp 110 false 1232"" NXDOMAIN qr,aa,rd 192 0.000142095s","coredns-5dd5756b68-gwjrn"
"Apr 12, 2024 @ 14:34:34.969","[INFO] 10.244.0.13:38585 - 48672 ""A IN my-cluster-kafka-2.my-cluster-kafka-brokers.default.svc.default.svc.cluster.local. udp 110 false 1232"" NXDOMAIN qr,aa,rd 192 0.000252594s","coredns-5dd5756b68-gwjrn"
"Apr 12, 2024 @ 14:34:34.969","[INFO] 10.244.0.13:57396 - 53498 ""AAAA IN my-cluster-kafka-2.my-cluster-kafka-brokers.default.svc.svc.cluster.local. udp 102 false 1232"" NXDOMAIN qr,aa,rd 184 0.000074872s","coredns-5dd5756b68-gwjrn"
"Apr 12, 2024 @ 14:34:34.969","[INFO] 10.244.0.13:42149 - 63044 ""A IN my-cluster-kafka-2.my-cluster-kafka-brokers.default.svc.svc.cluster.local. udp 102 false 1232"" NXDOMAIN qr,aa,rd 184 0.000135565s","coredns-5dd5756b68-gwjrn"
"Apr 12, 2024 @ 14:34:34.953","[INFO] 10.244.0.13:60001 - 34368 ""A IN my-cluster-kafka-0.my-cluster-kafka-brokers.default.svc.svc.cluster.local. udp 102 false 1232"" NXDOMAIN qr,aa,rd 184 0.000093274s","coredns-5dd5756b68-gwjrn"
"Apr 12, 2024 @ 14:34:34.953","[INFO] 10.244.0.13:56907 - 40629 ""AAAA IN my-cluster-kafka-0.my-cluster-kafka-brokers.default.svc.svc.cluster.local. udp 102 false 1232"" NXDOMAIN qr,aa,rd 184 0.00014553s","coredns-5dd5756b68-gwjrn"
"Apr 12, 2024 @ 14:34:34.953","[INFO] 10.244.0.13:36169 - 29260 ""AAAA IN my-cluster-kafka-0.my-cluster-kafka-brokers.default.svc.cluster.local. udp 98 false 1232"" NOERROR qr,aa,rd 180 0.000075955s","coredns-5dd5756b68-gwjrn"
"Apr 12, 2024 @ 14:34:34.953","[INFO] 10.244.0.13:37807 - 65320 ""A IN my-cluster-kafka-0.my-cluster-kafka-brokers.default.svc.cluster.local. udp 98 false 1232"" NOERROR qr,aa,rd 172 0.000116665s","coredns-5dd5756b68-gwjrn"
